,quadratAllTime,quadratIndYear,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
224,,THC2-7,,,,,1,1,1,1,1,1,1,1,1,1,,,,
225,,THC2-8,,,,,1,1,1,1,1,1,1,1,1,1,,,,
226,,THC2-9,,,,,1,1,1,1,1,1,1,1,1,1,,,,
227,,THM1-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
228,,THM1-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
229,,THM1-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
230,,THM1-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
231,,THM1-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
232,,THM1-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
233,,THM1-6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
234,,THM1-7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
235,,THM1-8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
236,,THM1-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
237,,THM2-01,,,,,,,,,,,,,,,1,1,1,1
238,,THM2-02,,,,,,,,,,,,,,,1,1,1,1
239,,THM2-03,,,,,,,,,,,,,,,1,1,1,1
240,,THM2-04,,,,,,,,,,,,,,,1,1,1,1
241,,THM2-05,,,,,,,,,,,,,,,1,1,1,1
242,,THM2-06,,,,,,,,,,,,,,,1,1,1,1
243,,THM2-07,,,,,,,,,,,,,,,1,1,1,1
244,,THM2-08,,,,,,,,,,,,,,,1,1,1,1
245,,THM2-09,,,,,,,,,,,,,,,1,1,1,1
246,,THM2-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
247,,THM2-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
248,,THM2-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
249,,THM2-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
